function_name,category,fixture_id,jpl_status,moshier_status,vsop_elp_meeus_status,jpl_elapsed_ns,moshier_elapsed_ns,vsop_elp_meeus_elapsed_ns,jpl_output_sha256,moshier_output_sha256,vsop_elp_meeus_output_sha256,jpl_vs_moshier_relation,jpl_vs_vsop_relation,moshier_vs_vsop_relation,max_abs_diff_if_numeric,max_rel_diff_if_numeric,notes
jme_ephemeris_path,engine_invariant,modern_bhuj_standard,OK,OK,OK,92844,125645,140445,0ca903356ebc1b4dc306da6a6d036bf9f6432fe573bb4d21e91d71d2c5f961b5,ee425b94e21f8f0ed6adce6d8686fcacabe7148baaa9e52e10307664b9bace37,c61d5f7a674304893908222fc1b5cfa938def403fcb15040f3d40ca75fe887e5,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_equatorial_to_ecliptic,engine_invariant,modern_bhuj_standard,OK,OK,OK,89742,153792,167918,77bc433f6eefc53a4f0c1daea7afc0a17d10e2713b52c6253d7405803d996208,ba4fda6295eef79bdb2335246fd7aad3f8f994f3f005806a01612bdcf6e4d718,f2a8160a988ccb8ef90e781dc5b854ffb4ce3d4d45f5834f62d9317732e13cb6,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_equatorial_to_ecliptic_rectangular_state,engine_invariant,modern_bhuj_standard,OK,OK,OK,140208,209348,182614,6357ef1021f073d18f1486e20999b47037732cae9c869288a289777456452cc8,2f1c2e89ce1100ab200c777db64c9baeec22a8e3603da57e68fdee28a60cf20b,9f51dbfef61f6770c474583695686f1a04065cbfbe3ab3ad9c9baf7b9da5bd30,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_equatorial_to_horizontal,engine_invariant,modern_bhuj_standard,OK,OK,OK,129896,132645,136635,ca6fb3ed9ac31bcda6c49c0be481ac9233006b6670643f425565f9be1c5bf809,08110900ad240127394b8a4046e838d7f96d094f0f2980ff87ffd21b57b16b5c,e7f5f07fb566bc0b80ecf018de4a279803bc5561719731f707141fabdd2edfbc,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_fixstar,engine_sensitive,modern_bhuj_standard,OK,OK,OK,550320,408508,698186,f1bbe0b99b733c6e38020507bbc6baf4e8ec96bd297d689649b9a067e65e3d33,da7fd8ca7307cf9e7846b8086af9ddf87f142471e8252cd9622a579a958ce582,09b0b88a936446669f2dca77fbdcab4ab8ba5cae0a259a34e61c95e61fa527cd,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_fixstar2,engine_sensitive,modern_bhuj_standard,OK,OK,OK,410140,427703,421326,1dae30140e0b6ce9744b05faff331c3d25bb266abe9c47caccd694d9ac9da7b0,5fb837468dcd92de4ebe1bf8fa0ae8ee7d0e9637f3a2d7d7923f716d9074663d,c6bab876626a7f139c1d0f68de5cb18a633fa095d7c043cfcb942759e7b62b5a,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_fixstar2_mag,engine_sensitive,modern_bhuj_standard,OK,OK,OK,681681,371123,349416,f104f6a408948d39f1904ecd455ec7b0192bb9bd0d0123a6faab9940f22a2913,b9d493e122ec8ea706aa1ac3bf535289b0fd0463edda20e2a2b6d87de3c18038,8577d730d22179178096b2b612a5d94e9cbca02f0977a937f91012f4f19af8d1,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_fixstar2_ut,engine_sensitive,modern_bhuj_standard,OK,OK,OK,592010,490586,461513,202b48fb53a599ca059702707d7e63d33bbf7bfe89d8657cda277f8065c53739,c881bf16013e4937d3a2af4e234b9cb0e6cf4b7f4c37698d70a721e02a58b752,51a9922bc259847e8e11d013622c50069abe497dcca63d4b9e838f38c21565e6,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_fixstar_mag,engine_sensitive,modern_bhuj_standard,OK,OK,OK,354466,358819,356230,9f245644906659239f5fdd313c9283feac797e4c9e69606c9d8581e589ee0543,17d70687da01ecde6f81e8be6c250e9873ae95fa75ba63598a9aad0b94756f0e,db98216d7c88849aa999c48d08b904a304550d7ca859d81286b759f8d6c46f33,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_fixstar_ut,engine_sensitive,modern_bhuj_standard,OK,OK,OK,467496,456934,498660,f4253ddf61f9b8275a76e09a96ca584ed894faeb1f031038e1b84d78797b6852,033d131a3e9e997d91130597f9fe38a007b5d32fd87416681b3c5d0e47f745f5,c70709644b3cfd6d9ef99905d0c0d37910817365818801feeb8dc0d1d6b1baaa,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
